Table: Two-sample t-tests results by Experiment Condition

|variable   | estimate| estimate1| estimate2|.y.   |group1  |group2    |  n1|  n2| statistic|       df| conf.low| conf.high|     p|p.signif |method |alternative |
|q43_1_clps |   -0.069|     0.460|     0.530|value |Control |Treatment | 315| 319|    -1.282|  627.690|   -0.176|     0.037| 0.200|ns       |T-test |two.sided   |
|q43_2_clps |   -0.083|     0.092|     0.176|value |Control |Treatment | 315| 319|    -1.407|  630.881|   -0.200|     0.033| 0.160|ns       |T-test |two.sided   |
|q43_3_clps |   -0.080|    -0.121|    -0.041|value |Control |Treatment | 315| 319|    -1.432|  631.846|   -0.189|     0.030| 0.153|ns       |T-test |two.sided   |
|q43_4_clps |   -0.105|     0.378|     0.483|value |Control |Treatment | 315| 319|    -1.945|  628.455|   -0.211|     0.001| 0.052|ns       |T-test |two.sided   |
|q43_5_clps |   -0.120|     0.152|     0.273|value |Control |Treatment | 315| 319|    -2.291|  622.217|   -0.223|    -0.017| 0.022|*        |T-test |two.sided   |
|q43_6_clps |   -0.055|     0.105|     0.160|value |Control |Treatment | 314| 319|    -0.982|  628.379|   -0.164|     0.055| 0.326|ns       |T-test |two.sided   |
|q44_1_clps |   -0.008|     0.635|     0.643|value |Control |Treatment | 315| 325|    -0.167|  637.631|   -0.104|     0.088| 0.867|ns       |T-test |two.sided   |
|q44_2_clps |   -0.113|     0.333|     0.446|value |Control |Treatment | 315| 325|    -2.168|  637.372|   -0.215|    -0.011| 0.030|*        |T-test |two.sided   |
|q44_3_clps |    0.069|     0.156|     0.086|value |Control |Treatment | 315| 325|     1.250|  637.957|   -0.040|     0.178| 0.212|ns       |T-test |two.sided   |
|q44_4_clps |   -0.012|     0.619|     0.631|value |Control |Treatment | 315| 325|    -0.241|  635.885|   -0.107|     0.084| 0.810|ns       |T-test |two.sided   |
|q44_5_clps |    0.085|     0.152|     0.068|value |Control |Treatment | 315| 325|     1.373|  637.613|   -0.036|     0.206| 0.170|ns       |T-test |two.sided   |
|q44_6_clps |    0.052|    -0.013|    -0.065|value |Control |Treatment | 315| 325|     0.903|  637.787|   -0.061|     0.165| 0.367|ns       |T-test |two.sided   |
|q46_1_clps |    0.014|     0.545|     0.531|value |Control |Treatment | 312| 324|     0.257|  633.868|   -0.093|     0.121| 0.797|ns       |T-test |two.sided   |
|q46_2_clps |   -0.123|     0.356|     0.478|value |Control |Treatment | 312| 324|    -2.299|  630.642|   -0.227|    -0.018| 0.022|*        |T-test |two.sided   |
|q46_3_clps |    0.066|     0.115|     0.049|value |Control |Treatment | 312| 324|     1.221|  633.169|   -0.040|     0.172| 0.222|ns       |T-test |two.sided   |
|q46_4_clps |    0.051|     0.054|     0.003|value |Control |Treatment | 312| 324|     0.849|  631.329|   -0.068|     0.170| 0.396|ns       |T-test |two.sided   |
|q46_5_clps |    0.095|    -0.029|    -0.123|value |Control |Treatment | 312| 324|     1.666|  633.794|   -0.017|     0.206| 0.096|ns       |T-test |two.sided   |
|q46_6_clps |    0.076|    -0.103|    -0.179|value |Control |Treatment | 312| 324|     1.400|  633.278|   -0.031|     0.184| 0.162|ns       |T-test |two.sided   |
